host_id,host_name,host_since_year,host_since_anniversary,id,neighbourhood_cleansed,city,state,zipcode,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
32366,Sabine & Sander,2009,8/18,9693,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.37801663,4.892703442,Apartment,Entire home/apt,3,1.5,1.0,1.0,Real Bed,132,2,30,4,within a day,0.9,34,99.0,10.0,10.0,10.0,10.0,10.0,9.0
36701,Leonie,2009,9/7,2323819,Bos en Lommer,Amsterdam,North Holland,1055XP,Netherlands,52.38141023,4.852742701,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,79,1,0,1,within a few hours,1.0,13,100.0,10.0,10.0,10.0,10.0,9.0,10.0
42212,Miguel,2009,9/29,280105,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.38029988,4.885143665,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,180,1,65,2,within an hour,0.96,18,99.0,10.0,10.0,10.0,10.0,10.0,9.0
42212,Miguel,2009,9/29,3527892,Centrum-West,Amsterdam,North Holland,1013HE,Netherlands,52.38147315,4.886809875,Loft,Shared room,1,1.0,1.0,1.0,Real Bed,75,1,0,1,within an hour,0.96,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0
42725,Marco,2009,10/1,933385,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,52.36761407,4.866895471,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,82,2,0,2,within a few hours,1.0,19,98.0,10.0,10.0,10.0,10.0,10.0,10.0
46431,Jennifer & Michiel,2009,10/17,1182306,Zuid,Amsterdam,North Holland,1059,Netherlands,52.34658737,4.84919711,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,59,1,0,1,within a few hours,1.0,58,95.0,9.0,10.0,9.0,9.0,9.0,9.0
59059,Marius,2009,12/1,75583,Slotervaart,Amsterdam,North Holland,1058,Netherlands,52.36522071,4.838338484,Apartment,Private room,4,1.5,1.0,2.0,Real Bed,35,1,30,2,within an hour,1.0,107,99.0,10.0,10.0,10.0,10.0,9.0,10.0
59484,Alex,2009,12/2,20168,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36508703,4.893541008,House,Private room,2,1.0,1.0,1.0,Real Bed,50,2,0,1,within an hour,1.0,25,83.0,9.0,9.0,9.0,8.0,10.0,9.0
59484,Alex,2009,12/2,3903880,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36343343,4.892453063,House,Private room,2,4.0,1.0,1.0,Real Bed,50,1,0,1,within an hour,1.0,14,86.0,9.0,9.0,9.0,9.0,10.0,9.0
62341,Jurgen,2009,12/11,1030014,Centrum-West,Amsterdam,North Holland,1015 GN,Netherlands,52.38189925,4.882599016,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,69,1,0,3,within an hour,1.0,13,90.0,9.0,8.0,10.0,10.0,10.0,9.0
65041,Ym,2009,12/22,43980,Zuid,Amsterdam,North Holland,1054,Netherlands,52.35745628,4.861242085,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,80,4,10,2,within a few hours,0.99,46,77.0,7.0,7.0,9.0,9.0,9.0,8.0
65041,Ym,2009,12/22,85767,Centrum-West,Amsterdam,North Holland,1013 NS,Netherlands,52.3881284,4.888545572,Apartment,Entire home/apt,4,1.5,1.0,4.0,Real Bed,80,4,10,2,within a few hours,0.99,49,73.0,7.0,7.0,8.0,9.0,9.0,7.0
70937,Tui,2010,1/16,3739250,Centrum-Oost,Amsterdam,North Holland,1018 HL,Netherlands,52.36781183,4.923052202,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,110,2,10,3,within an hour,1.0,5,88.0,9.0,10.0,10.0,9.0,8.0,8.0
74250,Margreet & Arnout,2010,1/27,3261215,Centrum-West,Amsterdam,North Holland,1052,Netherlands,52.37501222,4.879694208,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,74,1,0,4,within a few hours,0.8,22,97.0,10.0,10.0,10.0,10.0,10.0,10.0
77484,Annelies,2010,2/4,2820641,Centrum-West,Amsterdam,North Holland,1012 ML,Netherlands,52.37785675,4.896534945,Apartment,Entire home/apt,8,1.0,2.0,5.0,Real Bed,250,4,30,3,within a few hours,1.0,34,96.0,10.0,10.0,10.0,10.0,10.0,9.0
77484,Annelies,2010,2/4,3302169,Centrum-West,Amsterdam,North Holland,1016 LK,Netherlands,52.37303502,4.876419434,Apartment,Entire home/apt,6,1.5,4.0,6.0,Real Bed,200,4,30,3,within a few hours,1.0,2,90.0,6.0,8.0,7.0,9.0,9.0,9.0
77484,Annelies,2010,2/4,1756765,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 MX,Netherlands,52.36318648,4.867269951,Boat,Entire home/apt,6,1.0,2.0,3.0,Real Bed,180,4,40,3,within a few hours,1.0,35,94.0,9.0,9.0,10.0,10.0,9.0,9.0
77484,Annelies,2010,2/4,743666,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,52.36986326,4.872518729,Boat,Entire home/apt,6,1.0,2.0,4.0,Real Bed,200,4,40,3,within a few hours,1.0,72,95.0,10.0,9.0,10.0,10.0,10.0,9.0
77484,Annelies,2010,2/4,468132,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074 EN,Netherlands,52.35305467,4.90188698,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,160,4,30,3,within a few hours,1.0,52,89.0,9.0,9.0,10.0,10.0,9.0,9.0
77484,Annelies,2010,2/4,822614,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1073 GG,Netherlands,52.35281266,4.896553574,Apartment,Entire home/apt,6,2.0,2.0,3.0,Real Bed,200,4,30,3,within a few hours,1.0,32,91.0,9.0,9.0,9.0,10.0,10.0,9.0
77484,Annelies,2010,2/4,2396344,Oud-Oost,Amsterdam,North Holland,1091 DM,Netherlands,52.36100828,4.916213631,Apartment,Entire home/apt,6,1.5,2.0,5.0,Real Bed,160,4,30,3,within a few hours,1.0,25,89.0,9.0,9.0,10.0,10.0,8.0,8.0
77484,Annelies,2010,2/4,5275545,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 NP,Netherlands,52.36129424,4.858443675,Boat,Entire home/apt,4,1.0,2.0,3.0,Real Bed,120,2,30,3,within a few hours,1.0,2,90.0,10.0,9.0,9.0,10.0,10.0,10.0
77484,Annelies,2010,2/4,857794,Centrum-Oost,Amsterdam,North Holland,1017 RD,Netherlands,52.36376239,4.884498735,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,120,2,30,3,within a few hours,1.0,45,92.0,9.0,9.0,10.0,10.0,9.0,9.0
77484,Annelies,2010,2/4,236632,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1072 CC,Netherlands,52.35613973,4.888475752,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,100,2,20,4,within a few hours,1.0,39,96.0,10.0,10.0,10.0,10.0,10.0,9.0
77484,Annelies,2010,2/4,999908,Oud-Oost,Amsterdam,North Holland,1092,Netherlands,52.35674793,4.924005845,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,75,2,30,5,within a few hours,1.0,19,87.0,9.0,9.0,9.0,10.0,9.0,9.0
77484,Annelies,2010,2/4,2821480,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.3770844,4.895307225,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,140,2,30,3,within a few hours,1.0,19,96.0,10.0,9.0,10.0,10.0,9.0,9.0
77484,Annelies,2010,2/4,3414536,Westerpark,Amsterdam,North Holland,1052 EJ,Netherlands,52.37359727,4.873286997,Boat,Entire home/apt,4,1.0,1.0,1.0,Real Bed,160,2,30,3,within a few hours,1.0,13,94.0,10.0,10.0,10.0,10.0,9.0,9.0
77484,Annelies,2010,2/4,2821284,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.37727689,4.8950297,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,120,2,30,3,within a few hours,1.0,24,95.0,10.0,9.0,10.0,10.0,10.0,9.0
82145,Wim,2010,2/17,4069573,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1079 LM,Netherlands,52.34530413,4.911874372,Boat,Entire home/apt,10,2.0,5.0,6.0,Real Bed,206,4,50,3,within a few hours,1.0,1,40.0,6.0,4.0,2.0,8.0,8.0,6.0
82145,Wim,2010,2/17,948808,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1074 JH,Netherlands,52.35280372,4.908385671,Boat,Entire home/apt,6,1.0,2.0,3.0,Real Bed,140,2,35,3,within a few hours,1.0,10,83.0,8.0,8.0,8.0,9.0,8.0,8.0
82145,Wim,2010,2/17,4374110,Westerpark,Amsterdam,North Holland,1051AL,Netherlands,52.38200517,4.8756299,Boat,Entire home/apt,6,1.0,2.0,2.0,Real Bed,200,4,35,3,within a few hours,1.0,2,90.0,9.0,10.0,10.0,9.0,8.0,8.0
82145,Wim,2010,2/17,2436846,Centrum-West,Amsterdam,North Holland,1016 HG,Netherlands,52.37121579,4.883911014,Boat,Entire home/apt,6,2.0,2.0,3.0,Real Bed,227,4,35,3,within a few hours,1.0,18,87.0,9.0,7.0,10.0,10.0,10.0,8.0
82145,Wim,2010,2/17,539036,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.36265828,4.909767079,Boat,Entire home/apt,4,1.0,2.0,2.0,Real Bed,140,2,35,3,within a few hours,1.0,37,88.0,9.0,9.0,9.0,9.0,9.0,9.0
82145,Wim,2010,2/17,85941,Centrum-West,Amsterdam,North Holland,1015 DT,Netherlands,52.37609642,4.884574734,Boat,Entire home/apt,4,1.0,1.0,2.0,Real Bed,200,2,40,3,within a few hours,1.0,25,95.0,9.0,9.0,9.0,9.0,10.0,9.0
97647,Flip,2010,3/23,27886,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.38672732,4.89207807,Boat,Entire home/apt,2,1.0,1.0,1.0,Real Bed,135,2,0,2,within a few hours,1.0,11,100.0,10.0,10.0,10.0,10.0,9.0,10.0
98829,Jelmer & Sarah,2010,3/25,3985308,De Baarsjes - Oud-West,Amsterdam,North Holland,1053,Netherlands,52.36695076,4.867029312,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,90,1,0,4,within an hour,1.0,9,100.0,10.0,10.0,10.0,10.0,10.0,10.0
98844,Manolis,2010,3/25,178841,Westerpark,Amsterdam,North Holland,1052,Netherlands,52.38262451,4.878955874,Apartment,Entire home/apt,4,1.5,1.0,1.0,Real Bed,95,2,30,3,within a few hours,0.8,29,85.0,9.0,8.0,9.0,9.0,9.0,9.0
101455,Nazan & Patrick,2010,3/31,4641463,Centrum-West,Amsterdam,Noord-Holland,1016 BL,Netherlands,52.37148578,4.888167944,Apartment,Entire home/apt,4,1.0,2.0,4.0,Real Bed,179,2,25,2,a few days or more,0.4,11,93.0,9.0,10.0,10.0,10.0,10.0,9.0
106225,Jeff,2010,4/10,25488,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,1095,Netherlands,52.36500978,4.943572387,Apartment,Entire home/apt,6,1.0,3.0,3.0,Real Bed,120,4,25,4,within a few hours,1.0,69,91.0,9.0,9.0,9.0,9.0,8.0,9.0
106225,Jeff,2010,4/10,253792,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.37408073,4.897792586,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,230,2,20,3,within a few hours,1.0,15,98.0,10.0,10.0,10.0,10.0,10.0,9.0
106241,Tanja,2010,4/10,25489,Centrum-Oost,Amsterdam,North Holland,1011,Netherlands,52.37531439,4.903689027,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,195,2,35,2,within an hour,1.0,25,94.0,9.0,10.0,10.0,10.0,10.0,9.0
119217,Allan,2010,5/6,343195,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36436233,4.897554031,House,Private room,2,1.0,1.0,1.0,Real Bed,100,2,0,2,within a few hours,1.0,38,88.0,9.0,7.0,9.0,10.0,10.0,9.0
119217,Allan,2010,5/6,78033,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36498595,4.898400166,House,Private room,2,1.0,1.0,1.0,Futon,55,2,0,2,within a few hours,1.0,121,88.0,9.0,8.0,10.0,9.0,10.0,9.0
123414,Michele,2010,5/12,28658,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1056,Netherlands,52.37441423,4.857962927,Apartment,Private room,2,1.0,1.0,3.0,Real Bed,60,2,30,2,within an hour,1.0,218,93.0,9.0,10.0,10.0,9.0,9.0,9.0
123414,Michele,2010,5/12,2405985,Bos en Lommer,Amsterdam,North Holland,1056 GC,Netherlands,52.37529835,4.857196176,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,60,1,0,2,within an hour,1.0,39,89.0,10.0,9.0,10.0,10.0,9.0,9.0
124245,Edwin,2010,5/13,83498,Centrum-West,Amsterdam,North Holland,1017,Netherlands,52.36722763,4.891235318,Bed & Breakfast,Private room,1,1.0,1.0,1.0,Real Bed,45,1,0,2,within a few hours,1.0,85,93.0,10.0,9.0,10.0,10.0,10.0,9.0
124912,Samy,2010,5/14,270777,Centrum-West,Amsterdam,North Holland,1016,Netherlands,52.3678093,4.877908369,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,120,1,0,3,within an hour,1.0,74,93.0,9.0,9.0,9.0,9.0,10.0,9.0
125667,Michèle,2010,5/16,29217,Zuid,Amsterdam,North Holland,1072 AW,Netherlands,52.34975311,4.884765072,Boat,Entire home/apt,4,2.0,2.0,2.0,Real Bed,180,2,0,1,within an hour,1.0,139,87.0,8.0,8.0,9.0,9.0,9.0,8.0
125667,Michèle,2010,5/16,4052965,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1072 AW,Netherlands,52.34982879,4.887147116,Boat,Entire home/apt,2,1.0,0.0,1.0,Real Bed,100,1,0,3,within an hour,1.0,31,90.0,9.0,9.0,9.0,9.0,9.0,8.0
125667,Michèle,2010,5/16,1018703,Zuid,Amsterdam,North Holland,1072 AW,Netherlands,52.3504502,4.8861133,Boat,Entire home/apt,2,1.0,0.0,1.0,Real Bed,100,2,45,3,within an hour,1.0,46,92.0,9.0,9.0,9.0,9.0,9.0,9.0
126790,Christopher,2010,5/17,1088859,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.36793778,4.876497045,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100,1,0,2,within an hour,1.0,18,99.0,10.0,9.0,10.0,10.0,10.0,9.0
127233,Ingeborg,2010,5/18,29554,Centrum-West,Amsterdam,NH,1013,Netherlands,52.38050992,4.894188598,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,130,1,0,4,within a day,0.9,63,96.0,10.0,9.0,10.0,10.0,10.0,9.0
127233,Ingeborg,2010,5/18,4120357,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.3805797,4.892336621,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,110,2,40,3,within a day,0.9,10,93.0,10.0,10.0,9.0,10.0,10.0,9.0
62341,Jurgen,2009,12/11,1030014,Centrum-West,Amsterdam,North Holland,1015 GN,Netherlands,52.38189925,4.882599016,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,69,1,0,3,within an hour,1.0,13,90.0,9.0,8.0,10.0,10.0,10.0,9.0
131462,Riccardo,2010,5/25,30431,Centrum-Oost,Amsterdam,North Holland,1018,Netherlands,52.36325836,4.908473002,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,120,1,0,3,within an hour,1.0,5,95.0,10.0,10.0,10.0,10.0,10.0,9.0
133328,Francesca,2010,5/27,4549116,De Baarsjes - Oud-West,Amsterdam,North Holland,1056 DC,Netherlands,52.3706463,4.848612899,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,40,1,0,2,within a few hours,0.96,11,96.0,10.0,10.0,10.0,10.0,9.0,9.0
133347,Ashly,2010,5/27,3186920,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.36750276,4.875253281,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,95,2,15,2,within a few hours,0.76,13,100.0,10.0,10.0,10.0,10.0,10.0,10.0
133488,Nienke,2010,5/27,31080,Zuid,Amsterdam,North Holland,1059,Netherlands,52.35132054,4.848382899,Apartment,Entire home/apt,4,1.0,3.0,3.0,Real Bed,180,4,30,4,within a few hours,0.89,13,97.0,10.0,10.0,10.0,10.0,9.0,10.0
133785,Martijn,2010,5/28,1819449,Centrum-West,Amsterdam,North Holland,1016 SP,Netherlands,52.36998657,4.879435888,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100,0,0,3,within a day,1.0,1,97.0,10.0,10.0,10.0,10.0,10.0,8.0
140224,Pippa,2010,6/7,1362929,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.3804423,4.896870326,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,200,4,35,2,within a few hours,0.61,9,88.0,9.0,8.0,9.0,9.0,8.0,8.0
148238,Jeana,2010,6/20,34357,Westerpark,Amsterdam,North Holland,1013 WJ,Netherlands,52.39309367,4.872934521,Apartment,Entire home/apt,4,1.5,3.0,2.0,Real Bed,129,2,10,4,within a few hours,0.9,7,100.0,10.0,10.0,10.0,10.0,9.0,10.0
160130,Roy,2010,7/7,1039519,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.37983516,4.892287983,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,150,2,40,2,within a day,1.0,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0
164204,Julian,2010,7/12,38266,Centrum-West,Jordaan,NH,1015,Netherlands,52.37465882,4.878832927,Apartment,Entire home/apt,3,1.0,1.0,2.0,Futon,95,2,15,3,within a day,0.9,178,99.0,10.0,10.0,10.0,10.0,10.0,10.0
170371,Bob,2010,7/18,248461,Centrum-Oost,Amsterdam,North Holland,1012,Netherlands,52.36614982,4.890281816,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,89,2,18,2,within an hour,0.97,188,91.0,9.0,9.0,10.0,10.0,10.0,9.0
170371,Bob,2010,7/18,1055452,De Baarsjes - Oud-West,Amsterdam,North Holland,1053 KR,Netherlands,52.36924782,4.871122633,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,125,1,0,2,within an hour,0.97,30,93.0,9.0,9.0,9.0,10.0,9.0,9.0
170462,Liedewij,2010,7/18,39688,Bos en Lommer,Amsterdam,North Holland,1055,Netherlands,52.38018953,4.854581502,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,130,2,20,2,within a few hours,0.9,10,100.0,10.0,10.0,10.0,10.0,9.0,9.0
178227,Tom & Anat,2010,7/23,41075,Bos en Lommer,Amsterdam,North Holland,1055 ZT,Netherlands,52.38353198,4.855511391,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,67,2,15,2,within a few hours,1.0,31,93.0,10.0,8.0,9.0,9.0,8.0,9.0
178294,Minee,2010,7/23,3749010,IJburg - Zeeburgereiland,Amsterdam,North Holland,1086,Netherlands,52.36125772,4.978977679,House,Entire home/apt,4,1.5,2.0,4.0,Real Bed,275,4,45,3,within an hour,1.0,3,90.0,10.0,10.0,10.0,9.0,9.0,8.0
178515,Fatih,2010,7/23,61777,Centrum-West,Jordaan,North Holland,1015,Netherlands,52.38105624,4.885679794,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,76,1,0,4,within a day,1.0,58,92.0,9.0,9.0,9.0,10.0,10.0,9.0
179958,Karen,2010,7/25,1758862,De Pijp - Rivierenbuurt,Amsterdam,NH,1073CH,Netherlands,52.3552446,4.897286799,Apartment,Entire home/apt,4,1.0,2.0,6.0,Real Bed,89,2,25,4,within a few hours,1.0,37,94.0,9.0,10.0,10.0,10.0,10.0,9.0
179958,Karen,2010,7/25,41321,De Baarsjes - Oud-West,Amsterdam,North Holland,1054,Netherlands,52.36249426,4.87266318,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,85,2,0,3,within a few hours,1.0,139,92.0,9.0,9.0,10.0,10.0,10.0,9.0
184354,Emiel,2010,7/29,42161,Watergraafsmeer,Amsterdam,North Holland,1098,Netherlands,52.35687489,4.946206583,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,129,1,0,2,within a few hours,0.94,3,93.0,10.0,8.0,10.0,10.0,8.0,9.0
186729,Shawna,2010,7/31,82482,Centrum-West,Amsterdam,North Holland,1016,Netherlands,52.37025973,4.880030195,Apartment,Private room,4,1.0,1.0,1.0,Real Bed,85,2,15,1,within a day,1.0,297,89.0,9.0,8.0,9.0,9.0,10.0,9.0
187417,Bo And Cynthia,2010,8/1,42908,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078 GK,Netherlands,52.34733353,4.88943128,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,125,2,0,2,within a day,0.94,8,100.0,10.0,9.0,10.0,10.0,8.0,10.0
187580,Monique,2010,8/1,42970,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.3696163,4.888086949,Bed & Breakfast,Entire home/apt,2,1.0,1.0,1.0,Real Bed,139,1,0,2,within an hour,1.0,215,97.0,10.0,10.0,10.0,10.0,10.0,9.0
187580,Monique,2010,8/1,253650,Centrum-West,Amsterdam,North Holland,1012 VS,Netherlands,52.36775166,4.889815058,Bed & Breakfast,Entire home/apt,2,1.0,1.0,1.0,Real Bed,139,1,0,2,within an hour,1.0,120,97.0,10.0,10.0,10.0,10.0,10.0,9.0
187580,Monique,2010,8/1,568110,Centrum-West,Amsterdam,North Holland,1012,Netherlands,52.36786098,4.887054786,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,195,1,0,4,within an hour,1.0,13,94.0,9.0,10.0,9.0,10.0,10.0,9.0
187728,Tanya,2010,8/1,634772,Centrum-West,Amsterdam,Noord-Holland,1015,Netherlands,52.38122515,4.883545849,House,Entire home/apt,4,1.5,1.0,1.0,Real Bed,170,2,25,2,within a few hours,0.95,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0
187728,Tanya,2010,8/1,44129,Centrum-West,Amsterdam,North Holland,1015 JJ,Netherlands,52.38071123,4.886104318,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,200,2,0,1,within a few hours,0.95,136,98.0,10.0,10.0,10.0,10.0,10.0,9.0
187728,Tanya,2010,8/1,2517619,Centrum-Oost,Amsterdam,North Holland,1017HH,Netherlands,52.36286316,4.89312871,Apartment,Entire home/apt,2,1.5,0.0,1.0,Pull-out Sofa,120,1,0,3,within a few hours,0.95,17,96.0,10.0,10.0,10.0,10.0,10.0,9.0
187861,Lourent,2010,8/1,43054,Watergraafsmeer,Amsterdam,North Holland,1098,Netherlands,52.34988724,4.935026784,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,74,1,0,1,within a few hours,0.92,30,84.0,9.0,8.0,9.0,10.0,9.0,9.0
191384,Pasquale,2010,8/4,939349,Buitenveldert - Zuidas,Amsterdam,North Holland,1083 GP,Netherlands,52.3327144,4.888826655,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,75,1,15,1,within a few hours,1.0,2,90.0,9.0,9.0,9.0,9.0,9.0,9.0
191980,Koos And Sandra,2010,8/5,282108,Centrum-West,Amsterdam,North Holland,1013,Netherlands,52.38166034,4.885651442,Boat,Entire home/apt,2,1.0,1.0,1.0,Real Bed,129,1,0,3,within a few hours,1.0,76,100.0,10.0,10.0,10.0,10.0,10.0,10.0
195126,Babette,2010,8/8,1913383,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36645461,4.895914227,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,185,1,0,1,within a day,0.76,4,90.0,10.0,9.0,10.0,10.0,10.0,8.0
195126,Babette,2010,8/8,1913383,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,52.36645461,4.895914227,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,185,1,0,1,within a day,0.76,4,90.0,10.0,9.0,10.0,10.0,10.0,8.0
